datasetID,name,description,mediaURL,latitude,longitude
"Public Memorials & Sculptures","Reynold's Reserve Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7836611910613,144.960004006558
"Public Memorials & Sculptures","Victoria Police Memorial","Memorial - Arts & History",,-37.8242417290806,144.970982287968
"Public Memorials & Sculptures","The Genie","Sculpture - Arts & History",,-37.8214877018124,144.971194723297
"Public Memorials & Sculptures","Boer War Monument","Memorial Sculpture - Arts & History",,-37.8333920555902,144.972246673222
"Public Memorials & Sculptures","Resting Place","Seat - Arts & History",,-37.8103721087661,144.964076451277
"Public Memorials & Sculptures","Georges Fountain","Fountain - Arts & History",,-37.8147653135597,144.968373946711
"Public Memorials & Sculptures","Eight Hour Day Memorial","Monument - Arts & History",,-37.8071549943472,144.965588362141
"Public Memorials & Sculptures","Eel Trap","Sculpture - Arts & History",,-37.8191221578639,144.974075813898
"Public Memorials & Sculptures","John F. Kennedy Memorial","Memorial - Arts & History",,-37.8136597452278,144.976354471097
"Public Memorials & Sculptures","City Living","Sculpture - Arts & History",,-37.8114750568851,144.953165443927
"Public Memorials & Sculptures","Bandstand","Bandstand - Arts & History",,-37.8118220680303,144.98265705467
"Public Memorials & Sculptures","Domed Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8212403900153,144.970769453573
"Public Memorials & Sculptures","Fruition","Fruition - Arts & History",,-37.7895848548551,144.943006771705
"Public Memorials & Sculptures","Samuel Mauger Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8082489627974,144.975315343723
"Public Memorials & Sculptures","Painted Poles","Sculpture - Arts & History",,-37.8100968903886,144.964165113326
"Public Memorials & Sculptures","Sir William Brunton Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7893037541819,144.972178908201
"Public Memorials & Sculptures","Waterfall Fountain","Memorial Waterfall - Arts & History",,-37.813717094785,144.980140702756
"Public Memorials & Sculptures","Another View Site 8","Sculpture - Arts & History",,-37.8194133574865,144.960198663587
"Public Memorials & Sculptures","Coat of Arms","Pavement Inlay - Arts & History",,-37.8151041704989,144.96646930561
"Public Memorials & Sculptures","The Public Purse","Seat - Arts & History",,-37.8140976922587,144.963400791877
"Public Memorials & Sculptures","Constellation","Sculpture - Arts & History",,-37.8202460577394,144.960662531102
"Public Memorials & Sculptures","Clayton Reserve Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.7956635547352,144.93893479621
"Public Memorials & Sculptures","Horse Hitching Post","Hitching Post - Arts & History",,-37.8150299439513,144.974931522269
"Public Memorials & Sculptures","Within Three Worlds","Sculpture - Arts & History",,-37.7788682210743,144.961115185521
"Public Memorials & Sculptures","Robert Burns Memorial","Sculpture - Arts & History",,-37.8143735830792,144.974719996297
"Public Memorials & Sculptures","Water Children","Sculpture - Arts & History",,-37.8221241231269,144.970661974148
"Public Memorials & Sculptures","Brunton Drinking Fountain West","Memorial Drinking Fountain - Arts & History",,-37.8184091013264,144.978855433923
"Public Memorials & Sculptures","Another View Site 17","Sculpture - Arts & History",,-37.8148050876298,144.968381035174
"Public Memorials & Sculptures","Vault","Sculpture - Arts & History",,-37.826071391918,144.967732716827
"Public Memorials & Sculptures","Thomas Ferguson Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8015394788479,144.960227248561
"Public Memorials & Sculptures","Scar: A Stolen Vision","Indigenous - Arts & History",,-37.8201016644485,144.959454354553
"Public Memorials & Sculptures","Captain Cook","Sculpture - Arts & History",,-37.814579247299,144.979494359613
"Public Memorials & Sculptures","Hotham Hill Seat","Sculpture - Arts & History",,-37.7949352206982,144.940340755268
"Public Memorials & Sculptures","Sundial","Sundial - Arts & History",,-37.810316205825,144.954937510299
"Public Memorials & Sculptures","Signature Work","Sculpture - Arts & History",,-37.819243144249,144.947246789008
"Public Memorials & Sculptures","People's Path","Bricks / Tiles - Arts & History",,-37.8110235138977,144.978389174842
"Public Memorials & Sculptures","John Batman Memorial [2]","Sculpture - Arts & History",,-37.817659776023,144.959772999626
"Public Memorials & Sculptures","James C Roberts Memorial","Memorial Sculpture - Arts & History",,-37.7891381551832,144.957053770245
"Public Memorials & Sculptures","Marquis of Linlithgow","Statue - Arts & History",,-37.8266640563688,144.971916648894
"Public Memorials & Sculptures","Commonwealth Games Aquatic Sculptures - Eels","Sculpture - Arts & History",,-37.7966290758514,144.924306747344
"Public Memorials & Sculptures","Australia Today and Tomorrow","Sculpture - Arts & History",,-37.8140548926813,144.967338697856
"Public Memorials & Sculptures","Stapley Memorial Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8189109755954,144.973021226526
"Public Memorials & Sculptures","Tilly Aston Bell","Memorial Sculpture - Arts & History",,-37.8253717421153,144.975900160659
"Public Memorials & Sculptures","Model Tudor Village","Model - Arts & History",,-37.8132572127115,144.981012344621"
